date,value,drought_score
20140821,0.0,-0.30323418426930443
20140822,0.0,-0.30323418426930443
20140823,0.0,-0.30323418426930443
20140824,0.0,-0.30323418426930443
20140825,0.0,-0.30323418426930443
20140826,0.0,-0.30323418426930443
20140827,0.0,-0.30323418426930443
20140828,0.0,-0.30323418426930443
20140829,0.0,-0.30323418426930443
20140830,0.0,-0.30323418426930443
20140831,0.0,-0.30323418426930443
20140901,0.0,-0.30323418426930443
20140902,0.0,-0.30323418426930443
20140903,0.0,-0.30323418426930443
20140904,0.0,-0.30323418426930443
20140905,0.0,-0.30323418426930443
20140906,0.0,-0.30323418426930443
20140907,0.0,-0.30323418426930443
20140908,0.0,-0.30323418426930443
20140909,0.0,-0.30323418426930443
20140910,0.0,-0.30323418426930443
20140911,0.0,-0.30323418426930443
20140912,0.0,-0.30323418426930443
20140913,0.75,-0.1280130721762278
20140914,0.27,-0.24015458391579683
20140915,0.01,-0.3008979027747301
20140916,0.01,-0.3008979027747301
20140917,0.02,-0.29856162128015573
20140918,0.0,-0.30323418426930443
20140919,0.0,-0.30323418426930443
20140920,0.0,-0.30323418426930443
20140921,0.0,-0.30323418426930443
20140922,0.11,-0.2775350878289865
20140923,0.04,-0.29388905829100703
20140924,0.0,-0.30323418426930443
20140925,0.03,-0.29622533978558135
20140926,0.04,-0.29388905829100703
20140927,0.16,-0.2658536803561148
20140928,0.0,-0.30323418426930443
20140929,0.0,-0.30323418426930443
20140930,0.0,-0.30323418426930443
20141001,0.0,-0.30323418426930443
20141002,0.0,-0.30323418426930443
20141003,0.0,-0.30323418426930443
20141004,0.0,-0.30323418426930443
20141005,0.32,-0.22847317644292506
20141006,2.49,0.2784999078797101
20141007,0.37,-0.2167917689700533
20141008,0.0,-0.30323418426930443
20141009,0.0,-0.30323418426930443
20141010,0.0,-0.30323418426930443
20141011,0.0,-0.30323418426930443
20141012,28.84,6.434601646083135
20141013,10.25,2.09145434766941
20141014,0.06,-0.2892164953018583
20141015,0.0,-0.30323418426930443
20141016,0.0,-0.30323418426930443
20141017,0.0,-0.30323418426930443
20141018,0.0,-0.30323418426930443
20141019,0.0,-0.30323418426930443
20141020,0.0,-0.30323418426930443
20141021,0.0,-0.30323418426930443
20141022,0.0,-0.30323418426930443
20141023,0.0,-0.30323418426930443
20141024,0.0,-0.30323418426930443
20141025,0.0,-0.30323418426930443
20141026,0.02,-0.29856162128015573
20141027,0.12,-0.2751988063344121
20141028,1.51,0.049544321411423196
20141029,2.35,0.24579196695566904
20141030,0.23,-0.24949970989409428
20141031,1.02,-0.0649334718227202
20141101,0.01,-0.3008979027747301
20141102,0.83,-0.10932282021963297
20141103,0.01,-0.3008979027747301
20141104,0.0,-0.30323418426930443
20141105,0.05,-0.29155277679643266
20141106,0.07,-0.28688021380728396
20141107,0.05,-0.29155277679643266
20141108,1.38,0.019172661981956555
20141109,4.84,0.8275260591046835
20141110,3.93,0.6149244430984172
20141111,1.88,0.13598673671067432
