date,indicator,value,source,category,year,month,quarter
2000-02-09,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,2,1
2000-02-09,RAINFALL,0.0,NASA,Climate,2000,2,1
2000-02-09,TEMPERATURE,24.82,NASA,Climate,2000,2,1
2000-02-10,DROUGHT_SCORE,-0.2448271469049455,Derived,Climate,2000,2,1
2000-02-10,RAINFALL,0.25,NASA,Climate,2000,2,1
2000-02-10,TEMPERATURE,25.75,NASA,Climate,2000,2,1
2000-02-11,DROUGHT_SCORE,-0.1840838280460123,Derived,Climate,2000,2,1
2000-02-11,RAINFALL,0.51,NASA,Climate,2000,2,1
2000-02-11,TEMPERATURE,23.54,NASA,Climate,2000,2,1
2000-02-12,DROUGHT_SCORE,0.1570132701618435,Derived,Climate,2000,2,1
2000-02-12,RAINFALL,1.97,NASA,Climate,2000,2,1
2000-02-12,TEMPERATURE,23.06,NASA,Climate,2000,2,1
2000-02-13,DROUGHT_SCORE,1.7153130270429386,Derived,Climate,2000,2,1
2000-02-13,RAINFALL,8.64,NASA,Climate,2000,2,1
2000-02-13,TEMPERATURE,20.67,NASA,Climate,2000,2,1
2000-02-14,DROUGHT_SCORE,2.638144217399809,Derived,Climate,2000,2,1
2000-02-14,RAINFALL,12.59,NASA,Climate,2000,2,1
2000-02-14,TEMPERATURE,20.92,NASA,Climate,2000,2,1
2000-02-15,DROUGHT_SCORE,2.5073124537036446,Derived,Climate,2000,2,1
2000-02-15,RAINFALL,12.03,NASA,Climate,2000,2,1
2000-02-15,TEMPERATURE,20.95,NASA,Climate,2000,2,1
2000-02-16,DROUGHT_SCORE,0.3345706637494945,Derived,Climate,2000,2,1
2000-02-16,RAINFALL,2.73,NASA,Climate,2000,2,1
2000-02-16,TEMPERATURE,20.69,NASA,Climate,2000,2,1
2000-02-17,DROUGHT_SCORE,6.380867171707926,Derived,Climate,2000,2,1
2000-02-17,RAINFALL,28.61,NASA,Climate,2000,2,1
2000-02-17,TEMPERATURE,19.99,NASA,Climate,2000,2,1
2000-02-18,DROUGHT_SCORE,0.2644822189122639,Derived,Climate,2000,2,1
2000-02-18,RAINFALL,2.43,NASA,Climate,2000,2,1
2000-02-18,TEMPERATURE,19.01,NASA,Climate,2000,2,1
2000-02-19,DROUGHT_SCORE,0.3999865455975764,Derived,Climate,2000,2,1
