date,value_rain,rain_anomaly,rain_z,value_temp,temp_anomaly,temp_z,climate_risk_index
20000119,1.66,0.3620648625881857,0.0845885438300385,22.01,2.6211066652627153,0.544811553416462,0.3147000486232503
20000120,0.96,-0.33793513741181425,-0.07895116079016634,22.89,3.5011066652627143,0.7277244326824541,0.4033377967363102
20000121,4.95,3.652064862588186,0.8532251555450014,23.4,4.011106665262712,0.8337307604388811,0.8434779579919413
20000122,4.63,3.3320648625881857,0.778464147718622,22.18,2.7911066652627134,0.5801469960019374,0.6793055718602797
20000123,1.63,0.3320648625881857,0.07757969934631544,22.5,3.1111066652627137,0.6466607702804802,0.36212023481339783
20000124,6.03,4.732064862588186,1.1055435569590317,22.42,3.0311066652627154,0.6300323267108449,0.8677879418349383
20000125,1.82,0.5220648625881859,0.12196904774322823,23.25,3.8611066652627137,0.8025524287458145,0.46226073824452135
20000126,0.37,-0.9279351374118142,-0.2167917689700533,23.0,3.6111066652627137,0.7505885425907031,0.4836901557803782
20000127,0.01,-1.2879351374118142,-0.3008979027747301,22.39,3.0011066652627143,0.6237966603722312,0.4623472815734807
20000128,0.0,-1.2979351374118142,-0.30323418426930443,19.87,0.48110666526271473,0.10000068792870806,0.20161743609900623
20000129,0.0,-1.2979351374118142,-0.30323418426930443,21.02,1.6311066652627133,0.3390345642422204,0.3211343742557624
20000130,0.0,-1.2979351374118142,-0.30323418426930443,21.31,1.9211066652627125,0.39931267218214944,0.35127342822572694
20000131,0.0,-1.2979351374118142,-0.30323418426930443,22.95,3.561106665262713,0.7401957653596806,0.5217149748144925
20000201,0.0,-1.2979351374118142,-0.30323418426930443,23.66,4.271106665262714,0.8877732020401973,0.5955036931547508
20000202,0.0,-1.2979351374118142,-0.30323418426930443,23.89,4.501106665262714,0.9355799773028999,0.6194070807861022
20000203,0.04,-1.2579351374118142,-0.29388905829100703,24.63,5.241106665262713,1.0893930803220293,0.6916410693065181
20000204,0.3,-0.9979351374118142,-0.23314573943207378,24.07,4.681106665262714,0.97299397533458,0.6030698573833269
20000205,3.87,2.572064862588186,0.600906754130971,24.6,5.211106665262715,1.0831574139834166,0.8420320840571938
20000206,1.88,0.5820648625881857,0.13598673671067432,24.57,5.181106665262714,1.076921747644803,0.6064542421777387
20000207,0.1,-1.1979351374118141,-0.2798713693235609,26.33,6.941106665262712,1.442747506176787,0.8613094377501739
20000208,0.06,-1.2379351374118142,-0.2892164953018583,26.25,6.861106665262714,1.4261190626071516,0.857667778954505
20000209,0.0,-1.2979351374118142,-0.30323418426930443,24.82,5.431106665262714,1.1288856337999142,0.7160599090346094
20000210,0.25,-1.0479351374118142,-0.24482714690494556,25.75,6.361106665262714,1.3221912902969288,0.7835092186009371
20000211,0.51,-0.7879351374118142,-0.1840838280460123,23.54,4.151106665262713,0.8628305366857436,0.523457182365878
20000212,1.97,0.6720648625881858,0.15701327016184352,23.06,3.6711066652627125,0.7630598752679295,0.4600365727148865
20000213,8.64,7.342064862588186,1.7153130270429386,20.67,1.2811066652627154,0.2662851236250648,0.9907990753340017
20000214,12.59,11.292064862588186,2.638144217399809,20.92,1.5311066652627154,0.31824900978017623,1.4781966135899927
20000215,12.03,10.732064862588185,2.5073124537036446,20.95,1.561106665262713,0.3244846761187891,1.4158985649112168
20000216,2.73,1.4320648625881858,0.3345706637494945,20.69,1.301106665262715,0.2704422345174736,0.30250644913348407
20000217,28.61,27.312064862588187,6.380867171707926,19.99,0.6011066652627122,0.12494335328316102,3.2529052624955437
20000218,2.43,1.132064862588186,0.2644822189122639,19.01,-0.3788933347372847,-0.07875508044487517,0.17161864967856955
20000219,3.01,1.7120648625881856,0.3999865455975764,17.23,-2.158893334737286,-0.44873794986926885,0.4243622477334226
20000220,9.95,8.652064862588185,2.0213659028321787,19.25,-0.13889333473728627,-0.028869749735968512,1.0251178262840737
20000221,7.63,6.332064862588186,1.4793485960909285,19.4,0.011106665262712312,0.0023085819570980537,0.7408285890240133
20000222,2.9,1.6020648625881857,0.37428744915725853,21.27,1.8811066652627133,0.3909984503973318,0.3826429497772952
20000223,1.03,-0.2679351374118142,-0.06259719032814584,21.17,1.7811066652627154,0.37021289593528767,0.21640504313171677
20000224,1.56,0.26206486258818584,0.061225728884294985,21.86,2.471106665262713,0.5136332217233948,0.2874294753038449
